Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
BAU,,,Bosque,,,,2010,,,,11.3014,11.3014,11.3014,11.3014,11.3014,11.3014,11.3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2011,,,,11.495,11.495,11.495,11.495,11.495,11.495,11.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2012,,,,11.6885,11.6885,11.6885,11.6885,11.6885,11.6885,11.6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2013,,,,11.8159,11.8159,11.8159,11.8159,11.8159,11.8159,11.8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2014,,,,12.0112,12.0112,12.0112,12.0112,12.0112,12.0112,12.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2015,,,,12.0838,12.0838,12.0838,12.0838,12.0838,12.0838,12.0838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2016,,,,12.1564,12.1564,12.1564,12.1564,12.1564,12.1564,12.1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2017,,,,12.2452,12.2452,12.2452,12.2452,12.2452,12.2452,12.2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2018,,,,12.342,12.342,12.342,12.342,12.342,12.342,12.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2019,,,,12.342,12.342,12.342,12.342,12.342,12.342,12.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2020,,,,12.3419,12.3419,12.3419,12.3419,12.3419,12.3419,12.3419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
