Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
DDP50,,,Bosque,,,,2010,,,,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2011,,,,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2012,,,,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2013,,,,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,13.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2014,,,,12.8835,12.8835,12.8835,12.8835,12.8835,12.8835,12.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2015,,,,12.8835,12.8835,12.8835,12.8835,12.8835,12.8835,12.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2016,,,,12.7549,12.7549,12.7549,12.7549,12.7549,12.7549,12.7549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2017,,,,12.7549,12.7549,12.7549,12.7549,12.7549,12.7549,12.7549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2018,,,,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2019,,,,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2020,,,,12.484,12.484,12.484,12.484,12.484,12.484,12.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP50,,,Bosque,,,,2021,,,,12.3901,12.3901,12.3901,12.3901,12.3901,12.3901,12.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
