Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
PLANDEACCION,,,Bosque,,,,2010,,,,11.3014,11.3014,11.3014,11.3014,11.3014,11.3014,11.3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2011,,,,11.495,11.495,11.495,11.495,11.495,11.495,11.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2012,,,,11.6885,11.6885,11.6885,11.6885,11.6885,11.6885,11.6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2013,,,,11.8159,11.8159,11.8159,11.8159,11.8159,11.8159,11.8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2014,,,,12.0112,12.0112,12.0112,12.0112,12.0112,12.0112,12.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2015,,,,12.0838,12.0838,12.0838,12.0838,12.0838,12.0838,12.0838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2016,,,,12.1564,12.1564,12.1564,12.1564,12.1564,12.1564,12.1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2017,,,,12.2452,12.2452,12.2452,12.2452,12.2452,12.2452,12.2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2018,,,,12.342,12.342,12.342,12.342,12.342,12.342,12.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2019,,,,12.342,12.342,12.342,12.342,12.342,12.342,12.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2020,,,,12.3419,12.3419,12.3419,12.3419,12.3419,12.3419,12.3419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2021,,,,12.2413,12.2413,12.2413,12.2413,12.2413,12.2413,12.2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2022,,,,12.2413,12.2413,12.2413,12.2413,12.2413,12.2413,12.2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2023,,,,12.2001,12.2001,12.2001,12.2001,12.2001,12.2001,12.2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2024,,,,12.1227,12.1227,12.1227,12.1227,12.1227,12.1227,12.1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,,,Bosque,,,,2025,,,,12.0488,12.0488,12.0488,12.0488,12.0488,12.0488,12.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
