PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2010,,,,,,1.1601
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2011,,,,,,1.1602
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2012,,,,,,1.1607
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2013,,,,,,1.1613
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2014,,,,,,1.1619
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2015,,,,,,1.1625
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2016,,,,,,1.1631
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2017,,,,,,1.1637
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2018,,,,,,1.1642
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2019,,,,,,1.1648
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2020,,,,,,1.0741
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2021,,,,,,1.1578
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2022,,,,,,1.1732
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2023,,,,,,1.1887
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2024,,,,,,1.204
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2025,,,,,,1.2191
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2026,,,,,,1.2341
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2027,,,,,,1.2489
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2028,,,,,,1.2635
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2029,,,,,,1.278
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2030,,,,,,1.2922
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2031,,,,,,1.3063
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2032,,,,,,1.3201
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2033,,,,,,1.3338
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2034,,,,,,1.3472
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2035,,,,,,1.3603
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2036,,,,,,1.3732
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2037,,,,,,1.3858
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2038,,,,,,1.3982
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2039,,,,,,1.4103
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2040,,,,,,1.4222
