PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2010,,,,,,1.1601
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2011,,,,,,1.1602
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2012,,,,,,1.1607
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2013,,,,,,1.1613
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2014,,,,,,1.1619
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2015,,,,,,1.1625
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2016,,,,,,1.1631
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2017,,,,,,1.1637
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2018,,,,,,1.1642
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2019,,,,,,1.1648
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2020,,,,,,1.0741
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2021,,,,,,1.1578
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2022,,,,,,1.1732
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2023,,,,,,1.1887
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2024,,,,,,1.204
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2025,,,,,,1.2191
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2026,,,,,,1.2341
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2027,,,,,,1.2489
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2028,,,,,,1.2635
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2029,,,,,,1.278
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2030,,,,,,1.2922
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2031,,,,,,1.3063
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2032,,,,,,1.3201
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2033,,,,,,1.3338
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2034,,,,,,1.3472
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2035,,,,,,1.3603
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2036,,,,,,1.3732
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2037,,,,,,1.3858
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2038,,,,,,1.3982
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2039,,,,,,1.4103
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2040,,,,,,1.4222
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2041,,,,,,1.4337
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2042,,,,,,1.445
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2043,,,,,,1.456
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2044,,,,,,1.4667
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2045,,,,,,1.4771
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2046,,,,,,1.4872
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2047,,,,,,1.497
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2048,,,,,,1.5065
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2049,,,,,,1.5157
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2050,,,,,,1.5246
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2051,,,,,,1.5332
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2052,,,,,,1.5415
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2053,,,,,,1.5495
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2054,,,,,,1.5571
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2055,,,,,,1.5644
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2056,,,,,,1.5714
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2057,,,,,,1.5781
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2058,,,,,,1.5844
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2059,,,,,,1.5903
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2060,,,,,,1.5959
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2061,,,,,,1.6012
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2062,,,,,,1.6061
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2063,,,,,,1.6106
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2064,,,,,,1.6148
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2065,,,,,,1.6186
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2066,,,,,,1.622
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2067,,,,,,1.6251
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2068,,,,,,1.6278
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2069,,,,,,1.6301
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNMIC,,,,2070,,,,,,1.632
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2010,,,,,,2.9627
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2011,,,,,,2.9642
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2012,,,,,,2.9656
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2013,,,,,,2.9671
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2014,,,,,,2.9686
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2015,,,,,,2.9701
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2016,,,,,,2.9716
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2017,,,,,,2.9731
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2018,,,,,,2.9746
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2019,,,,,,2.976
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2020,,,,,,2.7443
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2021,,,,,,2.958
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2022,,,,,,2.9976
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2023,,,,,,3.037
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2024,,,,,,3.076
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2025,,,,,,3.1147
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2026,,,,,,3.153
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2027,,,,,,3.1909
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2028,,,,,,3.2283
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2029,,,,,,3.2652
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2030,,,,,,3.3016
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2031,,,,,,3.3375
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2032,,,,,,3.3729
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2033,,,,,,3.4077
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2034,,,,,,3.4419
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2035,,,,,,3.4755
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2036,,,,,,3.5084
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2037,,,,,,3.5407
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2038,,,,,,3.5724
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2039,,,,,,3.6033
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,TRNBUS,,,,2040,,,,,,3.6335
