PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNTAXLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNPASRAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNPASRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNPASRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSEDHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PLANDEACCION,ECU,TRNSEDGSL,,,,,,,,,,1.0
