PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,PLANDEACCION,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNBUSLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXHYBGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNTAXLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNPASRAIHYD,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNPASRAIELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNPASRAIDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMOTELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNMOTGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSEDELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSEDDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSEDHYBGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSEDGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSEDLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVNGV,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVHYBGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNSUVLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMNGV,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMHYBGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCAMLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEAHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEAHYD,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEAELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEADSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEAGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREHEALPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDNGV,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDHYD,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFREMEDLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGHYBDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGNGV,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGDSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGHYBGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGGSL,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRELIGLPG,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNCATTRUELE,,,,,,,,,,16.0
OperationalLife,PLANDEACCION,ECU,TRNFRERAIHYD,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,TRNFRERAIELE,,,,,,,,,,30.0
OperationalLife,PLANDEACCION,ECU,TRNFRERAIDSL,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_DSLPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_NGSPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_HYDPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_ELEPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_LPGPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_GSLPUB,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_ELEPRI,,,,,,,,,,1.0
OperationalLife,PLANDEACCION,ECU,T4_GSLPRI,,,,,,,,,,1.0
