PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2010,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2011,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2012,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2013,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2014,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2015,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2016,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2017,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2018,,,,,,115.6699
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2019,,,,,,115.7271
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2020,,,,,,106.715
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2021,,,,,,114.8745
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2022,,,,,,116.5641
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2023,,,,,,116.8101
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2024,,,,,,119.065
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2025,,,,,,120.7563
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2026,,,,,,122.1255
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2027,,,,,,123.4756
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2028,,,,,,124.8043
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2029,,,,,,126.1124
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2030,,,,,,127.3989
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2031,,,,,,128.564
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2032,,,,,,129.7037
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2033,,,,,,130.8161
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2034,,,,,,131.9012
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2035,,,,,,132.9581
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2036,,,,,,133.9861
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2037,,,,,,134.984
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2038,,,,,,135.9522
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2039,,,,,,136.8893
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2040,,,,,,137.795
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2041,,,,,,138.6392
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2042,,,,,,139.4521
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2043,,,,,,140.232
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2044,,,,,,140.9792
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2045,,,,,,141.6943
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2046,,,,,,142.3765
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2047,,,,,,143.0253
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2048,,,,,,143.6412
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2049,,,,,,144.2252
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2050,,,,,,144.7761
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2051,,,,,,145.6013
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2052,,,,,,146.3942
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2053,,,,,,147.1563
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2054,,,,,,147.8889
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2055,,,,,,148.5891
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2056,,,,,,149.259
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2057,,,,,,149.8961
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2058,,,,,,150.5011
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2059,,,,,,151.0738
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2060,,,,,,151.6121
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2061,,,,,,152.1179
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2062,,,,,,152.5889
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2063,,,,,,153.026
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2064,,,,,,153.4281
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2065,,,,,,153.7952
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2066,,,,,,154.1273
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2067,,,,,,154.4241
SpecifiedAnnualDemand,PLANDEACCION,ECU,,DEMTRNPASPUB,,,2068,,,,,,154.6851
