PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNTAXLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNPASRAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNPASRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNPASRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSEDHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSEDLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVNGV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNSUVLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMNGV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCAMLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEAHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEAHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEAELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEADSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEAGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREHEALPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDNGV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFREMEDLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGNGV,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRELIGLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNCATTRUELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRERAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRERAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,TRNFRERAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_DSLPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_NGSPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_HYDPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_ELEPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_LPGPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_GSLPUB,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_ELEPRI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_GSLPRI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_DSLPRI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_NGSPRI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_LPGPRI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_DSLHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_HYDHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_ELEHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_GSLHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_LPGHEA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_DSLMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_NGSMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_HYDMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_ELEMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_GSLMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_LPGMED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_DSLLIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_NGSLIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_ELELIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_GSLLIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,T4_LPGLIG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,ELE_TRANS,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,ELE_DISTR,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRU,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRUDSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRUGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRULPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRUFOI,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRUKJF,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRUCOK,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFNONENE,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,REFCRURED,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,CENGASPRO,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,CENGASGSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,CENGASLPG,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,NGS_DISTR,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,PP_BGSICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_CHP,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_SUG,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_BMSTST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_COA,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_FOIICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_FOITST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_DSLICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_DSLTGS,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_NGSTGS,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_CRU,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PP_TPP,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,PP_WASICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLGALICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLELRICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLELRTST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLCEMTST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPICRUPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPICRUPETTST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLPETTGS,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPIDSLPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPINGSPETTST,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPINGSPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PPINGSPETTGS,,,,,,,,,,31.536
CapacityToActivityUnit,TENDENCIAL,ECU,PROBIODSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,BLEND_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,PROETA,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,BLEND_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,TENDENCIAL,ECU,HYDPROELEISO,,,,,,,,,,1.0
