PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,TENDENCIAL,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,TENDENCIAL,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNBUSLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXHYBGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNTAXLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNPASRAIHYD,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNPASRAIELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNPASRAIDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMOTELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNMOTGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSEDELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSEDDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSEDHYBGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSEDGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSEDLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVNGV,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVHYBGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNSUVLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMNGV,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMHYBGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMGSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNCAMLPG,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNFREHEAHYBDSL,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNFREHEAHYD,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNFREHEAELE,,,,,,,,,,16.0
OperationalLife,TENDENCIAL,ECU,TRNFREHEADSL,,,,,,,,,,16.0
