PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2051,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2052,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2053,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2054,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2055,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2056,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2057,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2058,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2059,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2060,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2061,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2062,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2063,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2064,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2065,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2066,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2067,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2068,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2069,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCOK,,,,2070,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,TENDENCIAL,ECU,IMPCRU,,,,2044,,,,,,0.0
