PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2010,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2011,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2012,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2013,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2014,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2015,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2016,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2017,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2018,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2019,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2020,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2021,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2022,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2023,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2024,,,,,,99999.0
TotalTechnologyAnnualActivityUpperLimit,TENDENCIAL,ECU,RSVNGS,,,,2025,,,,,,99999.0
