PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,TENDENCIAL,,,,,,2010,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2011,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2012,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2013,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2014,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2015,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2016,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2017,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2018,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2019,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2020,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2021,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2022,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2023,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2024,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2025,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2026,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2027,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2028,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2029,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2030,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2031,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2032,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2033,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2034,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2035,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2036,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2037,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2038,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2039,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2040,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2041,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2042,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2043,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2044,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2045,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2046,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2047,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2048,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2049,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2050,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2051,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2052,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2053,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2054,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2055,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2056,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2057,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2058,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2059,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2060,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2061,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2062,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2063,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2064,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2065,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2066,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2067,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2068,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2069,All,,,,,1
YearSplit,TENDENCIAL,,,,,,2070,All,,,,,1
