Activity,SubCategory,Year,TotalEmission
1A,1A1,2010,8049.22
1A,1A1,2012,7162.57	
1A,1A1,2014,8568.71
1A,1A1,2016,7593.28
1A,1A1,2018,5733.76
1A,1A1,2020,4405.03
1A,1A1,2021,4403.42
1A,1A1,2022,5637.34
1A,1A2,2010,3201.83
1A,1A2,2012,3627.65	
1A,1A2,2014,4316.55
1A,1A2,2016,3021.61
1A,1A2,2018,3224.96
1A,1A2,2020,2785.94
1A,1A2,2021,3013.69
1A,1A2,2022,3613.91
1A,1A3,2010,13244.08
1A,1A3,2012,14787.85	
1A,1A3,2014,16926.04
1A,1A3,2016,18432.45
1A,1A3,2018,19834.19
1A,1A3,2020,16319.70
1A,1A3,2021,20144.68
1A,1A3,2022,21182.07
1A,1A4,2010,3042.80
1A,1A4,2012,3317.68	
1A,1A4,2014,3605.28
1A,1A4,2016,3257.78
1A,1A4,2018,3438.45
1A,1A4,2020,3479.76
1A,1A4,2021,3602.30
1A,1A4,2022,3794.57
1A,1A5,2010,2912.24
1A,1A5,2012,3224.24	
1A,1A5,2014,2933.17
1A,1A5,2016,2335.28
1A,1A5,2018,3127.37
1A,1A5,2020,2643.90
1A,1A5,2021,2024.47
1A,1A5,2022,2535.79
1B,1B2,2010,3679.79
1B,1B2,2012,3840.11	
1B,1B2,2014,4226.75
1B,1B2,2016,4194.38
1B,1B2,2018,3943.65
1B,1B2,2020,3643.56
1B,1B2,2021,3603.23
1B,1B2,2022,3662.07
