PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2010,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2011,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2012,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2013,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2014,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2015,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2016,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2017,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2018,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2019,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2020,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2021,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2022,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2027,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2028,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2029,,,,,,
TotalAnnualMinCapacityInvestment,PLANDEACCION,ECU,ENE_TERM,,,,2030,,,,,,
