PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2010,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2011,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2012,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2013,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2014,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2015,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2016,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2017,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2018,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,ENE_TERM,,,,2036,,,,,,
