PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,DDP,ECU,ENE_TERM,,,,2010,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2011,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2012,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2013,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2014,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2015,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2016,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2017,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2018,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2019,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2020,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2021,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2022,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2023,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2024,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2025,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2026,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2027,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2028,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2029,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2030,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2031,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2032,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2033,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2034,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2035,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2036,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2037,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2038,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2039,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2040,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2041,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2042,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2043,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2044,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2045,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2046,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2047,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2048,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2049,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2050,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2051,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2052,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2053,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2054,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2055,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2056,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2057,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2058,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2059,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2060,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2061,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2062,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2063,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2064,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2065,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2066,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2067,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2068,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2069,,,,,,
FixedCost,DDP,ECU,ENE_TERM,,,,2070,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2010,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2011,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2012,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2013,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2014,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2015,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2016,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2017,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2018,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2019,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2020,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2021,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2022,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2023,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2024,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2025,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2026,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2027,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2028,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2029,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2030,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2031,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2032,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2033,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2034,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2035,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2036,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2037,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2038,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2039,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2040,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2041,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2042,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2043,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2044,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2045,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2046,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2047,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2048,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2049,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2050,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2051,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2052,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2053,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2054,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2055,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2056,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2057,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2058,,,,,,
FixedCost,DDP,ECU,RAW_MAT_CLK,,,,2059,,,,,,
