Activity,SubCategory,Year,TotalEmission
2A,2A,2010,2174.00
2A,2A,2012,2373.40
2A,2A,2014,2356.50
2A,2A,2016,2242.40
2A,2A,2018,2358.30
2A,2A,2020,1582.00
2A,2A,2021,2239.50
2A,2A,2022,2198.40
2C,2C,2010,31.04
2C,2C,2012,35.47
2C,2C,2014,40.58
2C,2C,2016,45.9
2C,2C,2018,60.4
2C,2C,2020,45.38
2C,2C,2021,86.64
2C,2C,2022,86.67
2D,2D,2010,0.29
2D,2D,2012,0.28
2D,2D,2014,5.91
2D,2D,2016,6.08
2D,2D,2018,5.87
2D,2D,2020,3.93
2D,2D,2021,4.15
2D,2D,2022,3.14
2F,2F,2010,214.9
2F,2F,2012,289.1
2F,2F,2014,374.5
2F,2F,2016,472.9
2F,2F,2018,519.1
2F,2F,2020,1203.00
2F,2F,2021,1325.00
2F,2F,2022,1957.60
