Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,CEM_PROD,PROD_CEM,,2010,,,,,,5.2749,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2010,,,,,,5.2749,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2010,,,,,,5.2749,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2010,,,,,,5.2749,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2011,,,,,,5.6682,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2011,,,,,,5.6682,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2011,,,,,,5.6682,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2011,,,,,,5.6682,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2012,,,,,,6.0615,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2012,,,,,,6.0615,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2012,,,,,,6.0615,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2012,,,,,,6.0615,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2013,,,,,,6.3078,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2013,,,,,,6.3078,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2013,,,,,,6.3078,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2013,,,,,,6.3078,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2014,,,,,,6.5541,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2014,,,,,,6.5541,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2014,,,,,,6.5541,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2014,,,,,,6.5541,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2015,,,,,,5.7819,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2015,,,,,,5.7819,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2015,,,,,,5.7819,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2015,,,,,,5.7819,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2016,,,,,,5.0097,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2016,,,,,,5.0097,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2016,,,,,,5.0097,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2016,,,,,,5.0097,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2017,,,,,,5.0328,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2017,,,,,,5.0328,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2017,,,,,,5.0328,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2017,,,,,,5.0328,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.0559,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.0559,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.0559,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.0559,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.2404,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.2404,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.2404,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.2404,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.4119,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.4119,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.4119,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.4119,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2021,,,,,,5.0137,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2021,,,,,,5.0137,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2021,,,,,,5.0137,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2021,,,,,,5.0137,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2022,,,,,,4.6246,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2022,,,,,,4.6246,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2022,,,,,,4.6246,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2022,,,,,,4.6246,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2023,,,,,,4.8611,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2023,,,,,,4.8611,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2023,,,,,,4.8611,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2023,,,,,,4.8611,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2024,,,,,,5.0975,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2024,,,,,,5.0975,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2024,,,,,,5.0975,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANDEACCION,0,CEM_PROD,PROD_CEM,,2024,,,,,,5.0975,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2025,,,,,,5.334,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2025,,,,,,5.334,,,,,,,,,,,,,,,,,,,,,,,,,,
