PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2010,,,,,,4.067245876784108
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2011,,,,,,4.139230152028
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2012,,,,,,4.19138975734656
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2013,,,,,,4.70012985332124
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2014,,,,,,5.234229872596386
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2015,,,,,,4.846091590620752
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2016,,,,,,4.55265952622247
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2017,,,,,,4.46844237972157
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2018,,,,,,4.671981187899999
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2019,,,,,,4.563330462600001
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2020,,,,,,4.50900509995
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2021,,,,,,4.237378286699999
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2022,,,,,,4.220956384765915
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2023,,,,,,4.313309501270915
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2024,,,,,,4.40035437465
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2025,,,,,,5.119499528238128
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2026,,,,,,5.220560111841929
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2027,,,,,,5.123689314446681
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2028,,,,,,5.024959126357612
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2029,,,,,,4.924136953967427
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2030,,,,,,4.82109479631
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2031,,,,,,4.848143554835097
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2032,,,,,,4.874827573086899
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2033,,,,,,4.901046261786672
