PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2010,,,,,,0.0341754961289829
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2011,,,,,,0.0345185907565094
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2012,,,,,,0.034571480236997
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2013,,,,,,0.0397823483565936
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2014,,,,,,0.0451769175672909
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2015,,,,,,0.0413162253852499
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2016,,,,,,0.0383571657856866
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2017,,,,,,0.0374402713506997
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0389614386312887
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0349428755367204
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2020,,,,,,0.030854085313446
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0374965523252334
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0334008042636678
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0337992384259415
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0341608455700116
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0393876172046875
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0753825189903401
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2027,,,,,,0.1236438477017053
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2028,,,,,,0.1699644915029838
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2029,,,,,,0.2142802637174057
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2030,,,,,,0.2565235254668915
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2031,,,,,,0.3049521905672717
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2032,,,,,,0.3538787049356529
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2033,,,,,,0.4032841860842179
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2034,,,,,,0.4531479127481714
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2035,,,,,,0.5034477701024117
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2036,,,,,,0.5541568113385047
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2037,,,,,,0.6052459920199471
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2038,,,,,,0.6566795744491442
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2039,,,,,,0.7084175744894488
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2040,,,,,,0.760423303812309
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2041,,,,,,0.8126557344602435
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2042,,,,,,0.8650720046626524
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2043,,,,,,0.917630432950365
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2044,,,,,,0.9702885566915506
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2045,,,,,,1.023003656431871
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2046,,,,,,1.0757332572706424
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2047,,,,,,1.1284343317525547
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2048,,,,,,1.181063730360269
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2049,,,,,,1.2335792201601696
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2050,,,,,,1.2862912903696382
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2051,,,,,,1.294688441979253
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2052,,,,,,1.302818740355983
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2053,,,,,,1.3106763841429607
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2054,,,,,,1.3182557368709305
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2055,,,,,,1.3255513336572706
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2056,,,,,,1.3325578877366375
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2057,,,,,,1.339270296812329
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2058,,,,,,1.34568364921778
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2059,,,,,,1.351793229877814
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2060,,,,,,1.3575945260595552
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2061,,,,,,1.363083232903259
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2062,,,,,,1.3682552587235943
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2063,,,,,,1.373106730072274
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2064,,,,,,1.3776339965533169
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2065,,,,,,1.3818336353825849
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2066,,,,,,1.3857024556836477
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2067,,,,,,1.3892375025124797
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2068,,,,,,1.392436060603877
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2069,,,,,,1.3952956578329994
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2070,,,,,,1.3978140683858755
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2035,,,,,,0.0
