PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,PLANDEACCION,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,WWWT,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,WFIRU,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,SEWERWWWOT,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,SEWERWWWT,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,WWWTFIRU,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,TWWWOT,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,STWW,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,PLANDEACCION,ECU,T5TWWTWW,,,,,,,,,,1
