PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2010,,,,,,4.0672
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2011,,,,,,4.2162
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2012,,,,,,4.3482
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2013,,,,,,4.9635
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2014,,,,,,5.6248
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2015,,,,,,5.2972
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2016,,,,,,5.0569
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2017,,,,,,5.0416
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2018,,,,,,5.026
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2019,,,,,,5.0366
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2020,,,,,,5.3048
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2021,,,,,,5.0538
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2022,,,,,,5.5012
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2023,,,,,,5.8565
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2024,,,,,,6.0497
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2025,,,,,,6.3741
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2026,,,,,,6.7037
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2027,,,,,,7.0383
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2028,,,,,,7.3779
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2029,,,,,,7.7226
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2030,,,,,,8.0717
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2031,,,,,,8.2291
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2032,,,,,,8.3867
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2033,,,,,,8.5442
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2034,,,,,,8.7017
SpecifiedAnnualDemand,PLANDEACCION,ECU,,E5_TSWTSW,,,2035,,,,,,8.8591
