PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2010,,,,,,0.0341751106440859
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2011,,,,,,0.0351604711509674
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2012,,,,,,0.0358648846967827
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2013,,,,,,0.0420115384532242
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2014,,,,,,0.048547949195523
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2015,,,,,,0.0451622312575217
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2016,,,,,,0.0426055035621305
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2017,,,,,,0.0422426554940716
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0418767355995274
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0384895163803096
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2020,,,,,,0.0371432513508451
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0446724114042214
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2022,,,,,,0.044832858731324
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0478206255999008
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0490694009799726
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0517006246237737
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0543740257119266
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2027,,,,,,0.0570879820350333
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2028,,,,,,0.0598424935930939
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2029,,,,,,0.0626383714908072
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2030,,,,,,0.0654699379952799
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2031,,,,,,0.0667466167916249
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2032,,,,,,0.0680249177973679
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2033,,,,,,0.0693024076984118
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2034,,,,,,0.0705798975994558
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2035,,,,,,0.0718565763958007
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2036,,,,,,0.0716702183714922
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2037,,,,,,0.0738422208281052
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2038,,,,,,0.0760197202352569
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2039,,,,,,0.0782004128390883
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2040,,,,,,0.0803830257824096
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2041,,,,,,0.0825637148275385
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2042,,,,,,0.0847419687326986
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2043,,,,,,0.0869140026082412
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2044,,,,,,0.0890777022636815
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2045,,,,,,0.0912326758110857
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2046,,,,,,0.0933768648080063
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2047,,,,,,0.0955073435574591
TotalTechnologyAnnualActivityLowerLimit,PLANDEACCION,ECU,INORG_RCY_OS,,,,2048,,,,,,0.0976229050328547
