PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2010,,,,,,4.067245876784108
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2011,,,,,,4.216244836055034
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2012,,,,,,4.348215342837856
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2013,,,,,,4.963453331233124
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2014,,,,,,5.624838425871159
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2015,,,,,,5.297211
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2016,,,,,,5.056939535392826
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2017,,,,,,5.041613928153531
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2018,,,,,,5.026041421309048
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2019,,,,,,5.036630813610205
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2020,,,,,,5.30484929685
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2021,,,,,,5.0537885619
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2022,,,,,,5.501236433172675
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2023,,,,,,5.856477171671172
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2024,,,,,,6.049717930350214
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2025,,,,,,6.374142187598909
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2026,,,,,,6.7039969810817714
