PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2010,,,,,,0.0342
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2011,,,,,,0.0352
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2012,,,,,,0.0359
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2013,,,,,,0.042
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2014,,,,,,0.0485
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2015,,,,,,0.0452
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2016,,,,,,0.0426
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2017,,,,,,0.0422
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0419
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0385
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2020,,,,,,0.0371
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0447
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0448
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0478
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0491
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0517
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0544
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2027,,,,,,0.0571
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2028,,,,,,0.0598
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2029,,,,,,0.0626
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2030,,,,,,0.0655
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2031,,,,,,0.0668
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2032,,,,,,0.068
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2033,,,,,,0.0693
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2034,,,,,,0.0706
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2035,,,,,,0.0719
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2036,,,,,,0.0717
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2037,,,,,,0.0739
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2038,,,,,,0.0761
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2039,,,,,,0.0782
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2040,,,,,,0.0804
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2041,,,,,,0.0826
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2042,,,,,,0.0848
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2043,,,,,,0.087
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2044,,,,,,0.0891
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2045,,,,,,0.0913
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2046,,,,,,0.0934
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2047,,,,,,0.0956
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2048,,,,,,0.0977
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2049,,,,,,0.0998
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2050,,,,,,0.1019
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2051,,,,,,0.1046
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2052,,,,,,0.1074
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2053,,,,,,0.1101
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2054,,,,,,0.1128
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2055,,,,,,0.1156
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2056,,,,,,0.1183
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2057,,,,,,0.1211
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2058,,,,,,0.1238
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2059,,,,,,0.1265
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2060,,,,,,0.1292
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2061,,,,,,0.132
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2062,,,,,,0.1347
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2063,,,,,,0.1373
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2064,,,,,,0.14
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2065,,,,,,0.1427
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2066,,,,,,0.1453
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2067,,,,,,0.1479
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2068,,,,,,0.1505
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2069,,,,,,0.1531
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2070,,,,,,0.1557
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2010,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2011,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2012,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2013,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2014,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2016,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2017,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,AD,,,,2040,,,,,,0.0
