PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2010,,,,,,4.067245876784108
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2011,,,,,,4.139230152028
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2012,,,,,,4.19138975734656
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2013,,,,,,4.70012985332124
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2014,,,,,,5.234229872596386
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2015,,,,,,4.846091590620752
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2016,,,,,,4.55265952622247
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2017,,,,,,4.46844237972157
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2018,,,,,,4.671981187899999
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2019,,,,,,4.563330462600001
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2020,,,,,,4.50900509995
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2021,,,,,,4.237378286699999
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2022,,,,,,4.220956384765915
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2023,,,,,,4.313309501270915
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2024,,,,,,4.40035437465
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2025,,,,,,5.406054489048521
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2026,,,,,,5.589152489645897
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2027,,,,,,5.564430593086168
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2028,,,,,,5.538947970384564
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2029,,,,,,5.512458041797184
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2030,,,,,,5.4848179047742605
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2031,,,,,,5.500172142819057
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2032,,,,,,5.514881176921778
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2033,,,,,,5.528833675579907
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2034,,,,,,5.541944824181867
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2035,,,,,,5.554148907945685
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2036,,,,,,5.5653566905068494
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2037,,,,,,5.57549068804979
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2038,,,,,,5.584442016724275
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2039,,,,,,5.592101348021
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2040,,,,,,5.59841507403695
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2041,,,,,,5.603315454182315
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2042,,,,,,5.606741347469876
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2043,,,,,,5.6086550492689495
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2044,,,,,,5.609024863864961
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2045,,,,,,5.607826605071954
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2046,,,,,,5.605044508313979
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2047,,,,,,5.600665408496478
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2048,,,,,,5.594680291682778
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2049,,,,,,5.587088184636256
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2050,,,,,,5.5794205302266
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2051,,,,,,5.597800437602479
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2052,,,,,,5.614722457952235
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2053,,,,,,5.630171039093431
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2054,,,,,,5.644131738614792
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2055,,,,,,5.656591244911418
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2056,,,,,,5.667537396839303
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2057,,,,,,5.676959201950426
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2058,,,,,,5.684846853271948
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2059,,,,,,5.691191744595709
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2060,,,,,,5.695986484246595
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2061,,,,,,5.6992249073010255
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2062,,,,,,5.700902086229598
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2063,,,,,,5.701014339940486
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2064,,,,,,5.699559241203309
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2065,,,,,,5.696535622435806
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2066,,,,,,5.691943579838776
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2067,,,,,,5.685784475867544
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2068,,,,,,5.67806094003145
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2069,,,,,,5.668776868015701
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2070,,,,,,5.657937419123065
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2010,,,,,,3.2042
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2011,,,,,,3.7105
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2012,,,,,,4.2169
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2013,,,,,,4.5908
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2014,,,,,,4.964700000000001
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2015,,,,,,5.1418
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2016,,,,,,5.3186
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2017,,,,,,5.331099999999999
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2018,,,,,,4.0447617408
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2019,,,,,,4.00755419088
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2020,,,,,,4.05756619596
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2021,,,,,,4.1197163661600005
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2022,,,,,,4.463036623646898
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2023,,,,,,4.813458409092452
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2024,,,,,,5.170844515200009
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2025,,,,,,5.4303597483641814
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2026,,,,,,5.8302518506593195
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2027,,,,,,6.119392116070476
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2028,,,,,,6.566326452393942
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2029,,,,,,6.888134970588743
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2030,,,,,,6.667986131772
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2031,,,,,,6.846510867175244
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2032,,,,,,7.0261785142100655
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2033,,,,,,7.206875348694814
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2034,,,,,,7.388515775984195
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2035,,,,,,7.570989150637833
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2036,,,,,,7.754204484671341
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2037,,,,,,7.938038669117945
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2038,,,,,,8.122403660498367
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2039,,,,,,8.307187716864105
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2040,,,,,,8.492291248855917
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2041,,,,,,8.677638088027798
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2042,,,,,,8.863136378406267
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2043,,,,,,9.04867432856577
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2044,,,,,,9.234172783310902
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2045,,,,,,9.41951677082979
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2046,,,,,,9.604622749224902
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2047,,,,,,9.789428781886059
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2048,,,,,,9.97380696898516
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2049,,,,,,10.157700106303375
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2050,,,,,,10.341056238671255
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2051,,,,,,10.448708737510255
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2052,,,,,,10.553774101078616
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2053,,,,,,10.65615388836605
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2054,,,,,,10.755751534469596
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2055,,,,,,10.852472501555509
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2056,,,,,,10.946224427668344
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2057,,,,,,11.03691727306075
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2058,,,,,,11.124463463721167
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2059,,,,,,11.208778031780536
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2060,,,,,,11.289778752484072
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2061,,,,,,11.367386277420273
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2062,,,,,,11.441524263705622
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2063,,,,,,11.512119498831806
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2064,,,,,,11.579102020890124
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2065,,,,,,11.642405233897444
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2066,,,,,,11.701966017958112
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2067,,,,,,11.757724834007224
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2068,,,,,,11.80962582289223
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2069,,,,,,11.857616898562386
SpecifiedAnnualDemand,DDP70,ECU,,E5_TWWTWW,,,2070,,,,,,11.901649835148723
