PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2010,,,,,,0.0341754961289829
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2011,,,,,,0.0345185907565094
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2012,,,,,,0.034571480236997
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2013,,,,,,0.0397823483565936
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2014,,,,,,0.0451769175672909
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2015,,,,,,0.0413162253852499
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2016,,,,,,0.0383571657856866
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2017,,,,,,0.0374402713506997
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0389614386312887
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0349428755367204
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2020,,,,,,0.030854085313446
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0374965523252334
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0334008042636678
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0337992384259415
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0341608455700116
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0415922696403892
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0570173756230086
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2027,,,,,,0.0867273298908128
