PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,PLANDEACCION,ECU,INORG_RCY_OS,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,AD,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,COMPOST,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,LANDFILL,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,NO_CONTR_OD,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,LANDFILL_ELEC,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,WWWOT,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,WWWT,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,WFIRU,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,OSS_INORG,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,OSS_ORG,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,NO_OSS_BLEND,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,INORG_DCOLL,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,ORG_DCOLL,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,BLEND_NO_DCOLL,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,INORG_SS,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,ORG_SS,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,NO_SS,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,SEWERWWWOT,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,SEWERWWWT,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,WWWTFIRU,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,TWWWOT,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,SEWERWW,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,STWW,,,,,,,,,,20
OperationalLife,PLANDEACCION,ECU,T5TSWTSW,,,,,,,,,,100
OperationalLife,PLANDEACCION,ECU,T5TWWTWW,,,,,,,,,,100
