Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP70,0,,INORG_RCY_OS,,2010,,0.0432755,0.0432755,0.0432755,0.0432755,,,,,,,,,,,0.0914272,,,,0.0939078,0.0914272,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2011,,0.00132089,0.0445964,0.0445964,0.0440414,,,,,,,,,,,0.0881947,,,,0.0955699,0.0881947,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2012,,,0.0445964,0.0445964,0.0445964,,,,,,,,,,,0.0846503,,,,0.0967742,0.0846503,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2013,,0.00541299,0.0500094,0.0500094,0.0500094,,,,,,,,,,,0.0899762,,,,0.10852,0.0899762,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2014,,0.00568282,0.0556922,0.0556922,0.0556922,,,,,,,,,,,0.0949769,,,,0.120852,0.0949769,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2015,,0.017404,0.0730962,0.0730962,0.0515624,,,,,,,,,,,0.0833498,,,,0.11189,0.0833498,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2016,,,0.0730962,0.0730962,0.0484403,,,,,,,,,,,0.0742208,,,,0.105115,0.0742208,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2017,,,0.0730962,0.0730962,0.0475442,,,,,,,,,,,0.0690501,,,,0.103171,0.0690501,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2018,,,0.0730962,0.0730962,0.0497099,,,,,,,,,,,0.0684316,,,,0.10787,0.0684316,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2019,,,0.0730962,0.0730962,0.0485538,,,,,,,,,,,0.0633556,,,,0.105362,0.0633556,,,,,,,,,,,
