Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,0,,INORG_RCY_OS,,2010,,0.0445964,0.0445964,0.0445964,0.0432755,,,,,,,,,,,0.0914272,,,,0.0939078,0.0914272,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2011,,,0.0445964,0.0445964,0.0440414,,,,,,,,,,,0.0881947,,,,0.0955699,0.0881947,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2012,,,0.0445964,0.0445964,0.0445964,,,,,,,,,,,0.0846503,,,,0.0967742,0.0846503,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2013,,0.0110958,0.0556922,0.0556922,0.0500094,,,,,,,,,,,0.0899762,,,,0.10852,0.0899762,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2014,,,0.0556922,0.0556922,0.0556922,,,,,,,,,,,0.0949769,,,,0.120852,0.0949769,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2015,,,0.0556922,0.0556922,0.0515624,,,,,,,,,,,0.0833498,,,,0.11189,0.0833498,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2016,,,0.0556922,0.0556922,0.0484403,,,,,,,,,,,0.0742208,,,,0.105115,0.0742208,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2017,,0.0350719,0.0907641,0.0907641,0.0475442,,,,,,,,,,,0.0690501,,,,0.103171,0.0690501,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2018,,,0.0907641,0.0907641,0.0497099,,,,,,,,,,,0.0684316,,,,0.10787,0.0684316,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2019,,,0.0907641,0.0907641,0.0485538,,,,,,,,,,,0.0633556,,,,0.105362,0.0633556,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2020,,,0.0907641,0.0907641,0.0479758,,,,,,,,,,,0.0593378,,,,0.104108,0.0593378,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2021,,,0.0907641,0.0907641,0.0450857,,,,,,,,,,,0.0528561,,,,0.097836,0.0528561,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2022,,,0.0907641,0.0907641,0.044911,,,,,,,,,,,0.0499064,,,,0.0974568,0.0499064,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2023,,,0.0907641,0.0907641,0.0458936,,,,,,,,,,,0.0483397,,,,0.0995891,0.0483397,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2024,,,0.0907641,0.0907641,0.0468198,,,,,,,,,,,0.0467443,,,,0.101599,0.0467443,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2025,,,0.0907641,0.0907641,0.0544715,,,,,,,,,,,0.0515485,,,,0.118203,0.0515485,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2026,,,0.0907641,0.0907641,0.0907641,,,,,,,,,,,0.0814158,,,,0.196958,0.0814158,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2027,,0.0479759,0.13874,0.13874,0.13874,,,,,,,,,,,0.117962,,,,0.301066,0.117962,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2028,,0.0460297,0.18477,0.18477,0.18477,,,,,,,,,,,0.148909,,,,0.40095,0.148909,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2029,,0.130555,0.315325,0.315325,0.228789,,,,,,,,,,,0.174772,,,,0.496471,0.174772,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2030,,,0.270728,0.270728,0.270728,,,,,,,,,,,0.196028,,,,0.58748,0.196028,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2031,,0.258405,0.529133,0.529133,0.319237,,,,,,,,,,,0.219101,,,,0.692743,0.219101,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2032,,,0.529133,0.529133,0.368242,,,,,,,,,,,0.239559,,,,0.799084,0.239559,,,,,,,,,,,
