Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
PLANDEACCION,0,,INORG_RCY_OS,,2010,,0.0341751,0.0341751,0.0341751,0.0341751,,,,,,,,,,,0.072201,,,,0.07416,0.072201,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2011,,0.00783643,0.0420115,0.0420115,0.0351605,,,,,,,,,,,0.0704102,,,,0.0762982,0.0704102,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2012,,,0.0420115,0.0420115,0.0358649,,,,,,,,,,,0.0680766,,,,0.0778268,0.0680766,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2013,,,0.0420115,0.0420115,0.0420115,,,,,,,,,,,0.0755866,,,,0.091165,0.0755866,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2014,,0.00653641,0.0485479,0.0485479,0.0485479,,,,,,,,,,,0.0827932,,,,0.105349,0.0827932,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2015,,0.00582608,0.054374,0.054374,0.0451622,,,,,,,,,,,0.073004,,,,0.098002,0.073004,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2016,,,0.054374,0.054374,0.0426055,,,,,,,,,,,0.0652806,,,,0.0924539,0.0652806,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2017,,,0.054374,0.054374,0.0422427,,,,,,,,,,,0.0613504,,,,0.0916666,0.0613504,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2018,,,0.054374,0.054374,0.0418767,,,,,,,,,,,0.0576483,,,,0.0908725,0.0576483,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2019,,,0.054374,0.054374,0.0384895,,,,,,,,,,,0.0502231,,,,0.0835223,0.0502231,,,,,,,,,,,
PLANDEACCION,0,,INORG_RCY_OS,,2020,,,0.054374,0.054374,0.0371433,,,,,,,,,,,0.0459398,,,,0.0806009,0.0459398,,,,,,,,,,,
