Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,INORG_RCY_OS,,2010,,0.0433,0.0433,0.0433,0.0433,,,,,,,,,,,0.091479,,,,0.093961,0.091479,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2011,,0.0095,0.0528,0.0528,0.0449,,,,,,,,,,,0.089914,,,,0.097433,0.089914,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2012,,,0.0528,0.0528,0.0463,,,,,,,,,,,0.087884,,,,0.100471,0.087884,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2013,,,0.0528,0.0528,0.0528,,,,,,,,,,,0.094997,,,,0.114576,0.094997,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2014,,0.007,0.0598,0.0598,0.0598,,,,,,,,,,,0.101982,,,,0.129766,0.101982,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2015,,0.0025,0.0623,0.0623,0.0564,,,,,,,,,,,0.0911697,,,,0.122388,0.0911697,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2016,,,0.0623,0.0623,0.0538,,,,,,,,,,,0.082433,,,,0.116746,0.082433,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2017,,,0.0623,0.0623,0.0536,,,,,,,,,,,0.0778451,,,,0.116312,0.0778451,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2018,,,0.0623,0.0623,0.0535,,,,,,,,,,,0.0736491,,,,0.116095,0.0736491,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2019,,,0.0623,0.0623,0.0536,,,,,,,,,,,0.0699401,,,,0.116312,0.0699401,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2020,,,0.0623,0.0623,0.0564,,,,,,,,,,,0.069757,,,,0.122388,0.069757,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2021,,,0.0623,0.0623,0.0538,,,,,,,,,,,0.0630723,,,,0.116746,0.0630723,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2022,,,0.0623,0.0623,0.0585,,,,,,,,,,,0.065007,,,,0.126945,0.065007,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2023,,,0.0623,0.0623,0.0623,,,,,,,,,,,0.0656205,,,,0.135191,0.0656205,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2024,,0.0021,0.0644,0.0644,0.0644,,,,,,,,,,,0.0642961,,,,0.139748,0.0642961,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2025,,0.0034,0.0678,0.0678,0.0678,,,,,,,,,,,0.0641618,,,,0.147126,0.0641618,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2026,,0.0035,0.0713,0.0713,0.0713,,,,,,,,,,,0.0639564,,,,0.154721,0.0639564,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2027,,0.0036,0.0749,0.0749,0.0749,,,,,,,,,,,0.063683,,,,0.162533,0.063683,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2028,,0.0036,0.0785,0.0785,0.0785,,,,,,,,,,,0.0632643,,,,0.170345,0.0632643,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2029,,0.0037,0.0822,0.0822,0.0822,,,,,,,,,,,0.0627926,,,,0.178374,0.0627926,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2030,,0.047,0.0859,0.0859,0.0859,,,,,,,,,,,0.0621982,,,,0.186403,0.0621982,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2031,,0.0112,0.0876,0.0876,0.0876,,,,,,,,,,,0.0601224,,,,0.190092,0.0601224,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2032,,0.0017,0.0893,0.0893,0.0893,,,,,,,,,,,0.0580939,,,,0.193781,0.0580939,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2033,,0.0016,0.0909,0.0909,0.0909,,,,,,,,,,,0.056052,,,,0.197253,0.056052,,,,,,,,,,,
