Sector,Strategy,Year,AnnualEmissions
energy,BAU,2010,37659.013123
energy,BAU,2011,38168.16308
energy,BAU,2012,39204.98177
energy,BAU,2013,40544.211397
energy,BAU,2014,41272.202967
energy,BAU,2015,40267.704372
energy,BAU,2016,38819.039110000005
energy,BAU,2017,36814.51728
energy,BAU,2018,38022.11272
energy,BAU,2019,36949.519368
energy,BAU,2020,34020.863688000005
energy,BAU,2021,35174.79623
energy,BAU,2022,36856.08684
energy,BAU,2023,36602.3625
energy,BAU,2024,37122.51883
energy,BAU,2025,37544.12617
energy,BAU,2026,38041.6698
energy,BAU,2027,38569.62341
energy,BAU,2028,39112.56043
energy,BAU,2029,39514.26003
energy,BAU,2030,39807.10567
energy,BAU,2031,40172.14332
energy,BAU,2032,40576.53203
energy,BAU,2033,40951.15535
energy,BAU,2034,41349.82203
energy,BAU,2035,41535.85312
energy,DDP,2010,37359.248698
energy,DDP,2011,37981.451055
energy,DDP,2012,39123.81683
energy,DDP,2013,40320.385267
energy,DDP,2014,41071.883497
energy,DDP,2015,40094.984002
energy,DDP,2016,38698.11431
energy,DDP,2017,36704.2953
energy,DDP,2018,37895.95437
energy,DDP,2019,36943.001093
energy,DDP,2020,34010.831203
energy,DDP,2021,35006.72676
energy,DDP,2022,36850.190239999996
energy,DDP,2023,36509.50201
energy,DDP,2024,37081.597856
energy,DDP,2025,37465.286146
energy,DDP,2026,37947.074677
energy,DDP,2027,38379.074137
energy,DDP,2028,38602.128598
energy,DDP,2029,38833.532987
energy,DDP,2030,38941.437022
energy,DDP,2031,38897.89464
energy,DDP,2032,38218.53861
energy,DDP,2033,37991.43676
energy,DDP,2034,37829.61912
energy,DDP,2035,37694.2648
energy,PLANDEACCION,2010,41095.763397999996
energy,PLANDEACCION,2011,41402.151505
energy,PLANDEACCION,2012,42974.41105
energy,PLANDEACCION,2013,44695.137867
energy,PLANDEACCION,2014,45633.409397
energy,PLANDEACCION,2015,44656.687802
energy,PLANDEACCION,2016,42716.248009999996
energy,PLANDEACCION,2017,39512.80273
energy,PLANDEACCION,2018,40496.26541
energy,PLANDEACCION,2019,39521.422263
energy,PLANDEACCION,2020,36435.139993000004
energy,PLANDEACCION,2021,37278.3093
energy,PLANDEACCION,2022,39334.98624
energy,PLANDEACCION,2023,38959.67909
energy,PLANDEACCION,2024,39542.077546
energy,PLANDEACCION,2025,39930.081033
energy,PLANDEACCION,2026,40439.994736
energy,PLANDEACCION,2027,40892.026939
energy,PLANDEACCION,2028,41056.956223
energy,PLANDEACCION,2029,41299.490053
energy,PLANDEACCION,2030,41418.295063
energy,PLANDEACCION,2031,41308.059243
energy,PLANDEACCION,2032,40591.582683
energy,PLANDEACCION,2033,40394.211483
energy,PLANDEACCION,2034,40233.209083
energy,PLANDEACCION,2035,40068.277383
energy,TENDENCIAL,2010,37648.60523515
energy,TENDENCIAL,2011,36990.594295
