Sector,Strategy,Year,AnnualEmissions
energy,BAU,2018,38016.51172
energy,BAU,2019,36927.245368
energy,BAU,2020,34008.922688
energy,BAU,2021,35152.74523
energy,BAU,2022,36833.77184
energy,BAU,2023,36579.9965
energy,BAU,2024,37099.98554
energy,BAU,2025,37521.41006
energy,BAU,2026,38018.77825
energy,BAU,2027,38545.90602
energy,BAU,2028,39088.7136
energy,BAU,2029,39490.29683
energy,BAU,2030,39783.82959
energy,BAU,2031,40149.47072
energy,BAU,2032,40554.435919999996
energy,BAU,2033,40929.63102
energy,BAU,2034,41328.76076
energy,BAU,2035,41514.810059999996
energy,BAU,2036,42089.46293
energy,BAU,2037,42590.19792
energy,BAU,2038,43176.25401
energy,BAU,2039,43740.64564
energy,BAU,2040,44331.5863
energy,BAU,2041,44898.03849
energy,BAU,2042,45503.21723
energy,BAU,2043,45983.22274
energy,BAU,2044,46573.47602
energy,BAU,2045,47130.78301
energy,BAU,2046,47775.97512
energy,BAU,2047,48340.98699
energy,BAU,2048,48918.59371
energy,BAU,2049,49483.94248
energy,BAU,2050,50082.04
energy,BAU,2051,50876.21503
energy,BAU,2052,51603.4662
energy,BAU,2053,52324.95681
energy,BAU,2054,53058.254609999996
energy,BAU,2055,53798.58481
energy,BAU,2056,54553.35757
energy,BAU,2057,55307.58488
energy,BAU,2058,56066.54019
energy,BAU,2059,56832.92115
energy,BAU,2060,57620.49117
energy,BAU,2061,58412.75764
energy,BAU,2062,59223.33329
energy,BAU,2063,60041.086839999996
energy,BAU,2064,60868.13528
energy,BAU,2065,61706.06369
energy,BAU,2066,62551.734410000005
energy,BAU,2067,63410.84113
energy,BAU,2068,64280.2273
energy,BAU,2069,65159.81463
energy,BAU,2070,66053.12622
energy,DDP,2018,37954.12303
energy,DDP,2019,36998.490268
energy,DDP,2020,34073.632958
energy,DDP,2021,35074.05543
energy,DDP,2022,36909.22934
energy,DDP,2023,36635.432010000004
energy,DDP,2024,37168.384056
energy,DDP,2025,37552.619146
energy,DDP,2026,38102.100377
energy,DDP,2027,38541.791937
energy,DDP,2028,39274.655598
energy,DDP,2029,39607.225987
energy,DDP,2030,39693.226445
energy,DDP,2031,39533.66954
energy,DDP,2032,38838.64349
energy,DDP,2033,38592.20366
energy,DDP,2034,38398.46142
energy,DDP,2035,38249.7498
energy,DDP,2036,38136.54742
energy,DDP,2037,37994.36344
energy,DDP,2038,37841.21047
energy,DDP,2039,37755.113730000005
energy,DDP,2040,37658.49567
energy,DDP,2041,37546.888230000004
energy,DDP,2042,37446.55823
energy,DDP,2043,37257.32003
energy,DDP,2044,37113.44173
energy,DDP,2045,36979.02593
energy,DDP,2046,36761.98833
energy,DDP,2047,36528.37838
energy,DDP,2048,36285.27572
energy,DDP,2049,36050.32647
energy,DDP,2050,35790.1684
energy,DDP,2051,35629.71491
energy,DDP,2052,35546.30769
energy,DDP,2053,35446.70557
energy,DDP,2054,35276.09986
energy,DDP,2055,35033.72227
energy,DDP,2056,34931.38713
energy,DDP,2057,34823.95103
energy,DDP,2058,34719.78623
energy,DDP,2059,34607.48903
energy,DDP,2060,34493.38023
energy,DDP,2061,34385.60443
energy,DDP,2062,34255.81263
energy,DDP,2063,34111.17483
energy,DDP,2064,34150.93763
energy,DDP,2065,34203.53883
energy,DDP,2066,34207.786329999995
energy,DDP,2067,34178.15423
energy,DDP,2068,34164.73583
energy,DDP,2069,34052.861414
energy,DDP,2070,33893.881914
energy,DDP70,2018,37743.250420000004
energy,DDP70,2019,36590.285167999995
energy,DDP70,2020,32601.986788000002
energy,DDP70,2021,34819.68973
energy,DDP70,2022,35173.22681
energy,DDP70,2023,35383.27396
energy,DDP70,2024,35142.089850000004
energy,DDP70,2025,35197.96718
energy,DDP70,2026,35102.30227
energy,DDP70,2027,35444.57908
energy,DDP70,2028,35380.54505
energy,DDP70,2029,35437.27314
energy,DDP70,2030,35164.36065
energy,DDP70,2031,35194.63753
energy,DDP70,2032,34986.5842
energy,DDP70,2033,37957.023
energy,DDP70,2034,37924.78729
energy,DDP70,2035,38015.21025
energy,DDP70,2036,38125.61313
energy,DDP70,2037,38266.636320000005
energy,DDP70,2038,38428.65956
energy,DDP70,2039,38702.80984
energy,DDP70,2040,38893.13761
energy,DDP70,2041,39110.739625
energy,DDP70,2042,39222.188034
energy,DDP70,2043,39224.806572
energy,DDP70,2044,39514.266726
energy,DDP70,2045,39721.230025
energy,DDP70,2046,40045.736159
energy,DDP70,2047,40241.527001
energy,DDP70,2048,40427.890378000004
energy,DDP70,2049,40646.795943
energy,DDP70,2050,40883.921526
energy,DDP70,2051,40896.730826
energy,DDP70,2052,40883.077626
energy,DDP70,2053,40775.513826
